Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1317,2021-08-12,17,10,4,26,19,23,21,7,1,0,80000000,80000000,13,1,1428161.8,109858.6,219,31,872769.75,3985.25,3837,424,1586791.35,413.55,8269,930,1190322.55,143.95,115376,13239,7695579.2,66.7,150422,16893,6031922.2,40.1,704784,81606,11910849.6,16.9,2003946,232000,20841038.4,10.4
1318,2021-08-19,26,7,9,10,2,30,8,3,0,0,0,0,4,1,230341,57585.25,28,3,140764.4,5027.3,592,60,255921.6,432.3,1298,144,191974.2,147.9,18070,2042,1241409,68.7,24922,2508,971958,39,113885,12879,1918962.25,16.85,320169,35824,3361774.5,10.5
1319,2021-08-26,28,25,10,27,14,11,32,6,0,0,0,0,2,0,332795.2,166397.6,42,3,203374.5,4842.25,809,56,369753.45,457.05,1610,163,277322.5,172.25,23743,2596,1793783.65,75.55,30745,3288,1405046.5,45.7,151970,16511,2773452.5,18.25,443332,49135,4854485.4,10.95
1320,2021-09-02,17,25,12,5,4,28,14,10,1,0,20507103.16,20507103.16,27,0,491395.95,18199.85,53,4,300298,5666,1193,85,545976.45,457.65,2572,293,409462.4,159.2,37544,4022,2648729.2,70.55,50071,5315,2075442.95,41.45,232852,25136,4098195.2,17.6,665318,72423,7185434.4,10.8
1321,2021-09-09,3,20,8,6,2,17,23,2,0,0,0,0,2,0,222222.1,111111.05,32,5,135801.6,4243.8,679,68,246918.35,363.65,1254,118,185215.8,147.7,17331,1858,1197572.1,69.1,23724,2288,938284.2,39.55,105628,11839,1853771.4,17.55,290559,32375,3239732.85,11.15
1322,2021-09-16,1,30,9,32,8,31,22,9,1,0,9929133.09,9929133.09,1,0,288490.35,288490.35,31,4,176300.1,5687.1,543,49,320532.9,590.3,1407,138,240385.95,170.85,20548,2296,1554456.2,75.65,24996,2989,1218555,48.75,132907,14727,2405616.7,18.1,396237,43666,4219924.05,10.65
1323,2021-09-23,3,10,23,24,14,8,21,5,0,0,0,0,2,0,218833.5,109416.75,23,2,133731.2,5814.4,526,47,243143.5,462.25,1200,142,182340,151.95,17434,1845,1179410.1,67.65,21871,2695,924049.75,42.25,106825,11313,1821366.25,17.05,301893,32595,3200065.8,10.6
1324,2021-09-30,18,14,25,2,27,7,24,20,0,0,0,0,0,0,0,0,44,4,482306,10961.5,809,82,332620.35,411.15,1693,169,249463.55,147.35,23558,2413,1613723,68.5,31862,3345,1263328.3,39.65,143881,14624,2496335.35,17.35,405616,42268,4380652.8,10.8
1325,2021-10-07,27,25,34,4,29,13,18,13,0,0,0,0,4,0,482217.8,120554.45,66,7,294690,4465,1138,95,535770.4,470.8,2530,269,401890.5,158.85,38036,4415,2597858.8,68.3,46811,5265,2036278.5,43.5,235725,27161,4019111.25,17.05,673546,77190,7038555.7,10.45
1326,2021-10-14,23,20,17,27,22,32,12,17,0,0,0,0,4,0,672438,168109.5,94,13,410935.1,4371.65,1657,170,747141.3,450.9,3531,391,560369.7,158.7,52134,5887,3623313,69.5,67404,7113,2837708.4,42.1,319218,35302,5602275.9,17.55,904048,98753,9808920.8,10.85
1327,2021-10-21,7,17,11,28,30,2,27,11,1,0,60000000,60000000,23,0,949437.7,41279.9,154,25,580210.4,3767.6,2818,301,1054918.3,374.35,6356,733,791322,124.5,85447,9890,5118275.3,59.9,116992,12738,4006976,34.25,482032,56566,7905324.8,16.4,1329280,153410,13890976,10.45
1328,2021-10-28,14,10,29,26,9,15,23,3,0,0,0,0,2,0,214663.4,107331.7,19,0,131183.6,6904.4,433,39,238518.05,550.85,1036,129,178865.4,172.65,16098,1776,1156641.3,71.85,20948,2464,906001,43.25,100206,11266,1788677.1,17.85,290757,32573,3140175.6,10.8
1329,2021-11-04,30,15,27,12,34,18,8,8,0,0,0,0,3,0,286401.75,95467.25,38,2,175024.2,4605.9,670,66,318216.5,474.95,1546,166,238702.4,154.4,22382,2454,1543238.9,68.95,28503,3308,1209952.35,42.45,138600,15625,2383920,17.2,397664,44273,4175472,10.5
1330,2021-11-11,17,2,20,3,4,1,15,16,0,0,0,0,3,0,473006.4,157668.8,59,7,289058.7,4899.3,1065,122,525577.5,493.5,2280,283,394212,172.9,33511,3881,2548511.55,76.05,45323,5434,1996478.15,44.05,210873,25146,3943325.1,18.7,622100,73491,6905310,11.1
1331,2021-11-18,34,13,1,8,3,5,19,11,0,0,0,0,2,0,653003.3,326501.65,107,12,399056.5,3729.5,2028,246,725517,357.75,3771,425,544155.3,144.3,51569,6303,3519584.25,68.25,70068,8138,2757175.8,39.35,317707,38929,5448675.05,17.15,903702,109911,9534056.1,10.55
1332,2021-11-25,21,17,16,3,22,34,9,9,0,0,0,0,4,0,926246.6,231561.65,114,13,566038.5,4965.25,2318,289,1029192,444,4923,599,771926.4,156.8,69927,8647,4992787.8,71.4,91696,11712,3910834.4,42.65,438338,54149,7714748.8,17.6,1266791,154806,13554663.7,10.7
1333,2021-12-02,27,30,4,5,33,26,19,8,1,1,80000000,80000000,14,1,1248907.8,89207.7,142,25,763221.6,5374.8,2732,290,1387719.4,507.95,6219,817,1040749.65,167.35,91572,11654,6730542,73.5,117336,14627,5274253.2,44.95,581780,72645,10413862,17.9,1701221,211174,18288125.75,10.75
1334,2021-12-09,4,34,9,25,28,29,14,3,0,0,0,0,1,0,215387.1,215387.1,30,2,131625,4387.5,441,51,239308.65,542.65,1031,107,179497.1,174.1,15419,1769,1161050.7,75.3,20054,2287,909448.9,45.35,97084,11398,1796054,18.5,285728,33432,3143008,11
1335,2021-12-16,34,18,3,30,33,25,32,6,0,0,0,0,2,1,304289.8,152144.9,34,3,185954.5,5469.25,649,94,338096.55,520.95,1340,159,253595,189.25,20262,2460,1640208.9,80.95,25853,3287,1284894.1,49.7,129873,15378,2532523.5,19.5,391318,46169,4441459.3,11.35
1336,2021-12-23,3,33,29,13,10,20,16,19,0,0,0,0,6,2,462724.8,77120.8,65,4,282776,4350.4,1183,103,514131.8,434.6,2455,274,385557.75,157.05,34524,4402,2494359,72.25,45359,5541,1952704.95,43.05,218020,27832,3858954,17.7,635023,80276,6762994.95,10.65
1337,2021-12-30,35,26,18,32,23,19,16,10,0,0,0,0,2,0,518658.1,259329.05,75,16,316957.5,4226.1,1258,201,576289.8,458.1,2608,317,432276,165.75,37594,4204,2795113.9,74.35,48994,5385,2190031.8,44.7,235303,25709,4317810.05,18.35,688159,74675,7569749,11
1338,2022-01-06,15,5,28,20,29,34,27,8,1,0,60000000,60000000,4,0,865316.8,216329.2,117,19,528804.9,4519.7,2168,308,961508,443.5,4292,536,721056,168,62278,7718,4664622.2,74.9,80436,10085,3651794.4,45.4,396974,48681,7205078.1,18.15,1161870,143156,12664383,10.9
1339,2022-01-13,29,28,13,2,33,24,9,13,0,0,0,0,0,0,0,0,31,3,331952.65,10708.15,521,51,228927.4,439.4,1099,132,171718.75,156.25,16660,2022,1110389,66.65,19498,2172,869610.8,44.6,103577,12485,1719378.2,16.6,295646,35560,3015589.2,10.2
1340,2022-01-20,25,14,35,26,34,11,31,1,0,0,0,0,3,3,265356.3,88452.1,33,3,162162,4914,587,52,294850.1,502.3,1155,135,221124.75,191.45,17386,2078,1429998.5,82.25,22855,2605,1119895,49,113095,13160,2211007.25,19.55,333036,39001,3879869.4,11.65
