Combination,Count,Dates
14-16-21-28-38-nan-nan,1,28/01/2010
14-16-21-22-36-nan-nan,1,13/07/2006
14-16-18.0-31-32-33-nan,1,12/04/2018
14-16-17.0-18-32-35-nan,1,11/06/2015
14-15-29-33-42-nan-nan,1,19/05/2005
14-15-23-32-38-nan-nan,1,26/04/2012
14-15-23-24-25-nan-nan,1,05/08/1999
13.0-17-22-25-38-40-nan,1,22/01/2015
13.0-15-19-20-22-28.0-32,1,30/08/2018
13-31-33-35-45-nan-nan,1,09/12/1999
13-27-34-40-43-nan-nan,1,02/10/2008
13-26-29-31-36-nan-nan,1,23/08/2001
13-25-36-39-41-nan-nan,1,27/11/2008
13-25-31-36-37-nan-nan,1,04/01/2001
13-22-27-38-42-nan-nan,1,27/10/2005
14-24-33-35.0-36-38-nan,1,18/12/2014
14-23-36-41-43-nan-nan,1,09/05/2002
14-23-35-39-41-nan-nan,1,14/04/2005
14-22-38-41-44-nan-nan,1,27/12/2007
14-22-25.0-34-36-38-nan,1,31/08/2017
14-22-23.0-24.0-30-32-34,1,07/06/2018
14-21-40-41-44-nan-nan,1,21/11/2002
14-21-36-39-40-nan-nan,1,01/01/2009
14-21-35-43-44-nan-nan,1,22/06/2000
14-21-27-28-44-nan-nan,1,25/08/2011
14-20-24-28-29-nan-nan,1,20/03/1997
14-19-20.0-27.0-29-30-32,1,05/12/2019
14-18-29-32-43-nan-nan,1,19/08/2004
14-18-22-38-40-nan-nan,1,28/06/2007
14-18-19.0-20-24-29-nan,1,09/01/2014
14-17-25-27-38-nan-nan,1,06/04/2000
15-19-24-28-39-nan-nan,1,13/01/2000
15-18-27-34-44-nan-nan,1,21/02/2008
15-18-20.0-27-29-38-nan,1,09/11/2017
15-17.0-19.0-22-25-28-29,1,21/04/2022
15-17-36-41-42-nan-nan,1,11/03/2010
15-17-20-27-28-nan-nan,1,13/08/1998
15-17-19-25-34-nan-nan,1,10/06/2004
15-17-19-23-25-nan-nan,1,19/04/2007
15-16-19-27-36-nan-nan,1,15/02/2001
14.0-16-20-23-28-33-nan,1,22/09/2016
14-29-35-42-44-nan-nan,1,17/05/2012
14-28-31-32-44-nan-nan,1,04/06/1998
14-28-30-34-37-nan-nan,1,21/12/2006
14-27-42-44-45-nan-nan,1,29/07/2010
14-26-28-42-43-nan-nan,1,16/09/2004
14-26-28-38-40-nan-nan,1,11/07/1996
16-18-37-38-39-nan-nan,1,07/05/2009
16-18-29-36-39-nan-nan,1,22/08/2002
16-18-26-37-42-nan-nan,1,05/07/2012
16-18-23-34-35-nan-nan,1,28/10/1999
15.0-26-29-30-32-36-nan,1,18/07/2013
15-31-37-42-44-nan-nan,1,12/01/2006
15-28-30-38-45-nan-nan,1,08/11/2007
15-27-30-36-42-nan-nan,1,20/01/2005
15-26-43-44-45-nan-nan,1,05/07/2001
15-26-31-38-42-nan-nan,1,03/09/2009
15-25-26-30-31-37.0-nan,1,14/09/2017
15-24-26-34-43-nan-nan,1,24/10/1996
15-24-25-31-38-nan-nan,1,01/05/2003
15-22-35-39-44-nan-nan,1,02/04/2009
15-22-24-25-26.0-29-nan,1,16/02/2017
15-19-26-33-37-nan-nan,1,13/10/2005
17-18-32-35-40-nan-nan,1,14/10/2004
16.0-18-27-28-29-32-nan,1,03/04/2014
16.0-18-19.0-23-26-32-35,1,30/12/2021
16-31-39-43-44-nan-nan,1,26/08/1999
16-30-40-41-42-nan-nan,1,27/03/2008
16-29-30-34-44-nan-nan,1,09/09/2004
16-27-33-40-43-nan-nan,1,25/05/2006
16-27-32-38-45-nan-nan,1,08/07/2010
16-24-33-37.0-39-40-nan,1,12/12/2013
16-24-28-29-31-nan-nan,1,19/10/2000
16-23-38-41-45-nan-nan,1,15/12/2011
16-22-25-35-37-nan-nan,1,17/01/2013
16-21-38-40-43-nan-nan,1,17/07/1997
16-21-24-33-38-nan-nan,1,23/09/2004
16-21-22-29-31.0-36-nan,1,05/02/2015
16-19-28-31-41-nan-nan,1,27/08/1998
18-22-28-33-37-nan-nan,1,20/12/2007
18-22-24-31-36-nan-nan,1,08/09/2005
18-22-23-32-41-nan-nan,1,17/09/2009
18-19-31-32-43-nan-nan,1,04/01/2007
18-19-24-29-32.0-37-nan,1,01/06/2017
17-27-33.0-35-36-39-nan,1,23/11/2017
17-27-30-32-37-nan-nan,1,19/11/2009
